City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Maniitsoq,GL,65.4167,-52.9,11.35,91,100,5.5,light snow
256,Negotin,RS,44.2264,22.5308,40.95,81,100,13.22,overcast clouds
257,Alice Springs,AU,-23.7,133.8833,80.15,28,0,8.05,clear sky
258,Sobolevo,RU,54.4299,31.8996,25.52,87,63,12.97,broken clouds
259,Corlu,TR,41.1592,27.8,42.78,70,75,26.46,broken clouds
260,Victoria,HK,22.2855,114.1577,64.94,92,100,5.99,overcast clouds
261,Makueni,KE,-1.8041,37.6203,62.76,74,59,1.25,broken clouds
262,Kangaatsiaq,GL,68.3065,-53.4641,-1.19,85,100,10.89,overcast clouds
263,Mapiripan,CO,2.8892,-72.1256,82.08,51,68,5.53,broken clouds
264,Vardo,NO,70.3705,31.1107,26.82,65,14,17.09,few clouds
265,Omboue,GA,-1.5746,9.2618,77.99,89,100,5.14,light rain
266,Bollnas,SE,61.3482,16.3946,36.39,96,100,11.86,overcast clouds
267,Marienburg,PL,54.0359,19.0266,31.87,66,54,12.64,broken clouds
268,Constantine,DZ,36.365,6.6147,40.41,93,40,5.75,scattered clouds
269,Kirakira,SB,-10.4544,161.9205,84.61,69,54,3.65,broken clouds
270,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,31.07,snow
271,Port-Gentil,GA,-0.7193,8.7815,80.49,82,86,7.9,overcast clouds
272,Cloquet,US,46.7216,-92.4594,1.38,56,100,0.0,overcast clouds
273,Avarua,CK,-21.2078,-159.775,82.45,65,100,4.61,overcast clouds
274,Ribeira Grande,PT,38.5167,-28.7,61.56,89,100,15.57,overcast clouds
275,Sept-Iles,CA,50.2001,-66.3821,28.92,85,100,17.27,overcast clouds
276,Irbeyskoye,RU,55.6428,95.4522,-21.26,99,50,2.51,scattered clouds
277,Rocha,UY,-34.4833,-54.3333,65.34,92,100,14.03,overcast clouds
278,Kaduqli,SD,11.0167,29.7167,72.5,16,5,12.57,clear sky
279,Saldanha,ZA,-33.0117,17.9442,65.28,91,79,15.52,broken clouds
280,Eston,CA,51.1501,-108.7514,10.92,80,55,5.55,broken clouds
281,Poso,ID,-1.3959,120.7524,77.68,86,100,1.16,overcast clouds
282,Lengshuitan,CN,26.4111,111.5956,40.66,93,100,2.48,light rain
283,Bereda,ES,43.2686,-7.5406,45.0,99,33,2.98,scattered clouds
284,Hede,CN,33.7681,120.2517,42.28,77,86,4.63,light rain
285,Marion,US,39.7684,-86.1555,23.79,74,100,10.36,overcast clouds
286,Moindou,NC,-21.6924,165.677,85.95,72,99,7.99,overcast clouds
287,Bandarbeyla,SO,9.4942,50.8122,74.73,71,99,11.99,overcast clouds
288,Wenling,CN,28.3669,121.36,48.9,88,100,5.95,light rain
289,Saint-Ambroise,CA,48.5501,-71.3324,0.57,88,100,11.77,overcast clouds
290,Mlonggo,ID,-6.5333,110.7,75.09,81,100,3.18,overcast clouds
291,Rapid City,US,44.0805,-103.231,40.28,40,20,24.16,few clouds
292,Bambanglipuro,ID,-7.95,110.2833,64.6,85,100,4.56,overcast clouds
293,Margate,GB,51.3813,1.3862,44.96,73,91,8.01,overcast clouds
294,Magway,MM,20.15,94.9167,61.72,51,52,5.77,broken clouds
295,Bom Jardim,BR,-7.7958,-35.5872,74.98,85,84,6.78,broken clouds
296,Sisimiut,GL,66.9395,-53.6735,10.96,93,100,18.88,light snow
297,Nacogdoches,US,31.6002,-94.6335,41.58,89,75,12.66,broken clouds
298,Aasiaat,GL,68.7098,-52.8699,2.37,83,100,9.6,overcast clouds
299,Provideniya,RU,64.3833,-173.3,-5.03,86,12,4.03,few clouds
300,Tisul,RU,55.7611,88.3122,-9.72,93,5,7.36,clear sky
301,Isangel,VU,-19.55,169.2667,85.32,69,100,1.16,overcast clouds
302,Ketchikan,US,55.3422,-131.6461,42.78,87,100,6.91,overcast clouds
303,Hirakud,IN,21.5167,83.8667,55.31,41,6,3.96,clear sky
304,Sale,MA,34.0389,-6.8166,55.63,100,34,8.05,scattered clouds
305,Nakasongola,UG,1.3089,32.4564,68.31,75,89,4.83,overcast clouds
306,Zonguldak,TR,41.25,31.8333,34.65,94,99,2.55,overcast clouds
307,Alanya,TR,36.5438,31.9998,44.73,49,55,4.81,broken clouds
308,Sukagawa,JP,37.2833,140.3833,41.09,81,99,4.61,overcast clouds
309,Khasan,RU,42.4308,130.6434,19.9,49,91,9.42,overcast clouds
310,Kaba,HU,47.35,21.2833,28.56,67,0,6.13,clear sky
311,Devils Lake,US,48.1128,-98.8651,-0.42,74,0,12.66,clear sky
312,Bengkulu,ID,-3.8004,102.2655,76.12,82,96,3.98,overcast clouds
313,Buritizeiro,BR,-17.3511,-44.9622,67.15,97,83,1.5,broken clouds
314,Surgut,RU,61.25,73.4167,-10.91,76,0,11.01,clear sky
315,Caramay,PH,10.1815,119.236,79.29,86,100,6.87,overcast clouds
