City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Juneau,US,42.85,overcast clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
256,Negotin,RS,40.95,overcast clouds,44.2264,22.5308,Хотел Београд
259,Corlu,TR,42.78,broken clouds,41.1592,27.8,Bormalı Otel
260,Victoria,HK,64.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
261,Makueni,KE,62.76,broken clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
265,Omboue,GA,77.99,light rain,-1.5746,9.2618,Hotel Olako
266,Bollnas,SE,36.39,overcast clouds,61.3482,16.3946,Grand Hotel
267,Marienburg,PL,31.87,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
268,Constantine,DZ,40.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
274,Ribeira Grande,PT,61.56,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
277,Rocha,UY,65.34,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
278,Kaduqli,SD,72.5,clear sky,11.0167,29.7167,Nussyba
279,Saldanha,ZA,65.28,broken clouds,-33.0117,17.9442,Blue Bay Lodge
281,Poso,ID,77.68,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
282,Lengshuitan,CN,40.66,light rain,26.4111,111.5956,Jialong Hotel
283,Bereda,ES,45.0,scattered clouds,43.2686,-7.5406,Pazo de Verdes
284,Hede,CN,42.28,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
287,Bandarbeyla,SO,74.73,overcast clouds,9.4942,50.8122,JABIR HOTEL
288,Wenling,CN,48.9,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
290,Mlonggo,ID,75.09,overcast clouds,-6.5333,110.7,Asia Metal Art
291,Rapid City,US,40.28,few clouds,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
292,Bambanglipuro,ID,64.6,overcast clouds,-7.95,110.2833,Puri Brata
